region,deployment_type,model_full,is_available,model,version,gdpr_region,global_deployment,usable_in_gdpr
francecentral,provisioned-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
francecentral,standard-chat-completions,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
francecentral,standard-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
francecentral,standard-gpt-35-turbo,"gpt-35-turbo, 0301",True,gpt-35-turbo,0301,True,False,True
francecentral,standard-gpt-35-turbo,"gpt-35-turbo, 0613",True,gpt-35-turbo,0613,True,False,True
francecentral,standard-chat-completions,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
francecentral,standard-gpt-35-turbo,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
francecentral,standard-models,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
francecentral,standard-chat-completions,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,True,False,True
francecentral,standard-gpt-35-turbo,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,True,False,True
francecentral,standard-models,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,True,False,True
francecentral,provisioned-models,"gpt-4, 0125-preview",True,gpt-4,0125-preview,True,False,True
francecentral,provisioned-models,"gpt-4, 0613",True,gpt-4,0613,True,False,True
francecentral,standard-chat-completions,"gpt-4, 0613",True,gpt-4,0613,True,False,True
francecentral,standard-gpt-4,"gpt-4, 0613",True,gpt-4,0613,True,False,True
francecentral,standard-models,"gpt-4, 0613",True,gpt-4,0613,True,False,True
francecentral,provisioned-models,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
francecentral,standard-chat-completions,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
francecentral,standard-gpt-4,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
francecentral,standard-models,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
francecentral,provisioned-models,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
francecentral,standard-chat-completions,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
francecentral,standard-gpt-4,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
francecentral,standard-models,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
francecentral,datazone-provisioned-managed,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
francecentral,datazone-standard,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
francecentral,provisioned-models,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
francecentral,datazone-provisioned-managed,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
francecentral,datazone-standard,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
francecentral,provisioned-models,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
francecentral,datazone-provisioned-managed,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
